X,Media_Movel
45.0,
44.998,
44.995,
44.991,
44.988,17.983219303939975
44.986,17.982130815395113
44.983,17.981055138350236
44.98,17.979992727317885
44.977,17.978944031882445
44.974,17.97790949643529
44.971,17.976889559913204
44.968,17.97588465554019
44.965,17.97489521057295
44.962,17.97392164605012
44.959,17.972964376545445
44.956,17.972023809925158
44.953,17.971100347109605
44.95,17.97019438183934
44.947,17.969306300445904
44.944,17.968436481627307
44.941,17.967585296228545
44.939,17.966753107027124
44.935,17.965940268523905
44.932,17.96514712673926
44.929,17.9643740190148
44.926,17.963621273820756
44.924,17.962889210569124
44.921,17.962178139432734
44.917,17.9614883611704
44.914,17.960820166958147
44.912,17.96017383822678
44.909,17.959549646505792
44.906,17.958947853273752
44.903,17.958368709815293
44.9,17.957812457084767
44.897,17.957279325576636
44.894,17.95676953520276
44.891,17.956283295176572
44.888,17.95582080390426
44.885,17.95538224888303
44.882,17.954967806606493
44.879,17.954577642477243
44.876,17.95421191072667
44.873,17.95387075434207
44.87,17.953554305001106
44.867,17.9532626830136
44.864,17.95299599727076
44.861,17.952754345201807
44.858,17.952537812738065
44.855,17.95234647428451
44.853,17.952180392698793
44.85,17.952039619277734
44.847,17.95192419375126
44.844,17.951834144283875
44.841,17.951769487483535
44.838,17.951730228417958
44.835,17.951716360638365
44.832,17.951727866210607
44.829,17.95176471575363
44.826,17.951826868485234
44.823,17.951914272275147
44.82,17.952026863705267
44.817,17.952164568137093
44.814,17.952327299786223
44.811,17.952514961803935
44.808,17.952727446365678
44.805,17.952964634766513
44.802,17.953226397523288
44.799,17.95351259448361
44.796,17.953823074941383
44.793,17.954157677758932
44.79,17.954516231495546
44.787,17.95489855454236
44.784,17.95530445526344
44.781,17.95573373214302
44.778,17.9561861739387
44.775,17.95666155984054
44.772,17.957159659635888
44.769,17.957680233879834
44.766,17.958223034071157
44.763,17.95878780283359
44.76,17.95937427410234
44.757,17.959982173315634
44.754,17.96061121761119
44.751,17.961261116027465
44.748,17.961931569709485
44.745,17.96262227211918
44.742,17.963332909249935
44.739,17.96406315984535
44.736,17.96481269562191
44.733,17.965581181495462
